Unnamed: 0,id,scrape_id,last_scraped,host_url,host_location,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,longitude,property_type,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_name,host_listings_count,has_availability,number_of_reviews,price
12,250576,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/911586,"Victoria, Canada",100%,t,2,"['email', 'phone']",-123.35599,Private room in home,1.0,1 shared bath,1.0,1.0,"[""Hangers"", ""Wifi"", ""Hair dryer"", ""Smoke alarm"", ""Microwave"", ""Dishes and silverware"", ""Essentials"", ""Backyard"", ""Iron"", ""Refrigerator"", ""Coffee maker"", ""Heating"", ""Free street parking"", ""Shampoo""]",1,1125,1,1,1125,1125,1.0,1125.0,,35,48,133,29/12/24,13,6,07/07/12,13/12/24,4.79,4.83,4.83,4.92,4.9,4.68,4.81,,2,0,2,0,1.31,Jennifer,2,t,199,$60.00 
13,306192,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1574682,"Sooke, Canada",0%,f,1,"['email', 'phone']",-123.70666,Entire guesthouse,1.0,1 bath,1.0,1.0,"[""Sea view"", ""43 inch HDTV with standard cable"", ""Private backyard \u2013 Not fully fenced"", ""Outdoor furniture"", ""Dishes and silverware"", ""Waterfront"", ""Hair dryer"", ""Smoke alarm"", ""Long term stays allowed"", ""Room-darkening shades"", ""Ethernet connection"", ""Radiant heating"", ""Indoor fireplace: gas"", ""Fast wifi \u2013 82 Mbps"", ""Refrigerator"", ""Host greets you"", ""Private beach access"", ""Boat slip"", ""Luggage dropoff allowed"", ""Dining table"", ""Harbor view"", ""Electric stove"", ""Bathtub"", ""Essentials"", ""Oven"", ""Toaster"", ""Bay view"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Books and reading material"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Baking sheet"", ""Coffee"", ""Dishwasher"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Sun loungers"", ""Free washer \u2013 In unit"", ""Free driveway parking on premises \u2013 1 space"", ""Cooking basics"", ""Single level home"", ""Iron"", ""Bed linens"", ""Wine glasses"", ""Clothing storage: wardrobe"", ""Beach view"", ""Freezer""]",5,1125,5,5,1125,1125,5.0,1125.0,,57,87,361,29/12/24,0,0,28/05/12,19/08/23,4.98,4.98,4.98,4.95,4.99,4.96,4.98,,1,1,0,0,0.62,Norm & Pam,1,t,95,$215.00 
14,394086,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1923756,"Victoria, Canada",71%,f,3,"['email', 'phone']",-123.32535,Private room in guest suite,1.0,1 private bath,1.0,1.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Outdoor dining area"", ""Host greets you"", ""Essentials"", ""Heating"", ""Dryer"", ""Private entrance"", ""Fire pit"", ""TV with standard cable"", ""Hammock"", ""Private living room"", ""Kitchen"", ""Hangers"", ""Wifi"", ""BBQ grill"", ""First aid kit"", ""Cooking basics"", ""Washer"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Carbon monoxide alarm""]",30,365,30,30,365,365,30.0,365.0,,60,90,365,29/12/24,3,1,27/04/12,17/12/24,4.92,4.91,4.95,4.95,4.93,4.79,4.8,,2,0,2,0,0.83,Bobbie,2,t,128,$110.00 
15,401073,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2001974,"Victoria, Canada",92%,f,26,"['email', 'phone']",-123.37677,Entire rental unit,1.0,1 bath,1.0,3.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Stove""]",90,1125,90,90,1125,1125,90.0,1125.0,,0,0,90,29/12/24,0,0,14/06/15,30/06/23,4.59,4.73,4.27,4.86,4.77,4.86,4.59,,17,17,0,0,0.19,Martin,24,t,22,$100.00 
16,405558,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2001974,"Victoria, Canada",92%,f,26,"['email', 'phone']",-123.37691,Entire rental unit,1.0,1 bath,0.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Stove""]",90,1028,90,90,1028,1028,90.0,1028.0,,0,0,185,29/12/24,0,0,13/05/12,31/10/22,4.52,4.57,4.6,4.9,4.76,4.93,4.53,,17,17,0,0,0.2,Martin,24,t,30,$86.00 
17,408315,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2032438,,100%,f,1,"['email', 'phone']",-123.40394,Entire home,1.5,1.5 baths,3.0,3.0,"[""Private backyard \u2013 Not fully fenced"", ""Outdoor furniture"", ""Free parking on premises"", ""Dishes and silverware"", ""Waterfront"", ""Hair dryer"", ""Smoke alarm"", ""Long term stays allowed"", ""Stove"", ""Room-darkening shades"", ""Ethernet connection"", ""Refrigerator"", ""Indoor fireplace: gas"", ""Free dryer \u2013 In building"", ""Outdoor dining area"", ""Shampoo"", ""Dining table"", ""Lockbox"", ""Sony sound system with aux"", ""Self check-in"", ""Essentials"", ""Oven"", ""Toaster"", ""Blender"", ""Bay view"", ""Heating"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Hot water"", ""Books and reading material"", ""Ceiling fan"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""Baking sheet"", ""BBQ grill"", ""Laundromat nearby"", ""Dishwasher"", ""First aid kit"", ""Barbecue utensils"", ""55 inch HDTV with Netflix, standard cable, DVD player"", ""Dedicated workspace"", ""Free washer \u2013 In building"", ""Portable fans"", ""Cooking basics"", ""Rice maker"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Beach access \u2013 Beachfront"", ""Carbon monoxide alarm"", ""Board games"", ""Kayak""]",91,1125,90,120,180,1125,98.0,408.8,,0,0,179,29/12/24,2,0,31/08/14,26/05/24,5.0,5.0,4.79,4.96,5.0,5.0,4.92,,1,1,0,0,0.19,A,1,t,24,$377.00 
18,410541,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2001974,"Victoria, Canada",92%,f,26,"['email', 'phone']",-123.33919,Entire rental unit,1.0,1 bath,0.0,1.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Stove""]",90,1124,90,90,1124,1124,90.0,1124.0,,60,90,365,29/12/24,0,0,26/06/12,31/07/23,4.5,4.7,4.78,4.78,4.69,4.52,4.41,,17,17,0,0,0.18,Martin,24,t,27,$76.00 
19,410542,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2001974,"Victoria, Canada",92%,f,26,"['email', 'phone']",-123.341,Entire rental unit,1.0,1 bath,1.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Stove""]",90,1124,90,90,1124,1124,90.0,1124.0,,0,0,272,29/12/24,1,0,24/06/12,31/01/24,4.41,4.35,4.61,4.74,4.65,4.87,4.41,,17,17,0,0,0.15,Martin,24,t,23,$76.00 
20,416786,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/2001974,"Victoria, Canada",92%,f,26,"['email', 'phone']",-123.34648,Entire home,1.0,1 bath,2.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Patio or balcony"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Bathtub"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""BBQ grill"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Stove""]",90,1124,90,90,1124,1124,90.0,1124.0,,1,1,274,29/12/24,0,0,28/05/12,22/08/23,4.5,4.67,4.71,4.88,4.83,4.25,4.25,,17,17,0,0,0.16,Martin,24,t,24,$113.00 
21,417778,20241200000000.0,29/12/24,https://www.airbnb.com/users/show/1923756,"Victoria, Canada",71%,f,3,"['email', 'phone']",-123.32673,Private room in guest suite,1.0,1 private bath,1.0,0.0,"[""Free parking on premises"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Refrigerator"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shared patio or balcony"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Private living room"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""BBQ grill"", ""Dishwasher"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Washer"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Private backyard \u2013 Fully fenced"", ""Carbon monoxide alarm"", ""Stove""]",30,365,30,30,365,365,30.0,365.0,,59,89,364,29/12/24,3,0,13/07/12,05/11/24,4.89,4.87,4.98,4.95,4.9,4.79,4.84,,2,0,2,0,0.63,Bobbie,2,t,95,$120.00 
